property name,property location,property type,property circle rate /100 sqm,property circle_rates per sq feet,property plot_area,property far,property built up area,property age,property Multi_factor,property_construction_cost,property valuation,presumed annual rent by valuation method,property_class,presumed annual rent per feet,presumed annual rent by built up method,presumed annual rent for annual rateable value calculation,annual rateable value,property_tax
jussh,marwad,residential,90956.25,84.5,200.0,0.5,100.0,1,1,1000,116900.24,5845.01,1,80.0,8000.0,5845.01,5260.51,184.12
rcgvu,marwad,residential,90956.25,84.5,200.0,0.5,100.0,1,1,1100,126900.24,6345.01,1,80.0,8000.0,6345.01,5710.51,199.87
aicss,marwad,residential,90956.25,84.5,200.0,0.5,100.0,1,1,1300,146900.24,7345.01,1,80.0,8000.0,7345.01,6610.51,231.37
btedr,marwad,residential,90956.25,84.5,200.0,0.5,100.0,6,0.9,700,79900.24,3995.01,1,80.0,8000.0,3995.01,3595.51,125.84
enhmj,marwad,residential,90956.25,84.5,200.0,0.5,100.0,6,0.9,1000,106900.24,5345.01,1,80.0,8000.0,5345.01,4810.51,168.37
kmzpc,marwad,residential,90956.25,84.5,200.0,0.5,100.0,6,0.9,1100,115900.24,5795.01,1,80.0,8000.0,5795.01,5215.51,182.54
jeowk,marwad,residential,90956.25,84.5,200.0,0.5,100.0,6,0.9,1300,133900.24,6695.01,1,80.0,8000.0,6695.01,6025.51,210.89
alefd,marwad,residential,90956.25,84.5,200.0,0.5,100.0,11,0.8,700,72900.24,3645.01,1,80.0,8000.0,3645.01,3280.51,114.82
znaxp,marwad,residential,90956.25,84.5,200.0,0.5,100.0,11,0.8,1000,96900.24,4845.01,1,80.0,8000.0,4845.01,4360.51,152.62
lhrfd,marwad,residential,90956.25,84.5,200.0,0.5,100.0,11,0.8,1100,104900.24,5245.01,1,80.0,8000.0,5245.01,4720.51,165.22
bmzyc,marwad,residential,90956.25,84.5,200.0,0.5,100.0,11,0.8,1300,120900.24,6045.01,1,80.0,8000.0,6045.01,5440.51,190.42
iuxcn,marwad,residential,90956.25,84.5,200.0,0.5,100.0,16,0.7,700,65900.24,3295.01,1,80.0,8000.0,3295.01,2965.51,103.79
juhmv,marwad,residential,90956.25,84.5,200.0,0.5,100.0,16,0.7,1000,86900.24,4345.01,1,80.0,8000.0,4345.01,3910.51,136.87
psqvc,marwad,residential,90956.25,84.5,200.0,0.5,100.0,16,0.7,1100,93900.24,4695.01,1,80.0,8000.0,4695.01,4225.51,147.89
ujlce,marwad,residential,90956.25,84.5,200.0,0.5,100.0,16,0.7,1300,107900.24,5395.01,1,80.0,8000.0,5395.01,4855.51,169.94
uruwq,marwad,residential,90956.25,84.5,200.0,0.5,100.0,21,0.6,700,58900.24,2945.01,1,80.0,8000.0,2945.01,2650.51,92.77
gpmxq,marwad,residential,90956.25,84.5,200.0,0.5,100.0,21,0.6,1000,76900.24,3845.01,1,80.0,8000.0,3845.01,3460.51,121.12
anvxe,marwad,residential,90956.25,84.5,200.0,0.5,100.0,21,0.6,1100,82900.24,4145.01,1,80.0,8000.0,4145.01,3730.51,130.57
dxrxc,marwad,residential,90956.25,84.5,200.0,0.5,100.0,21,0.6,1300,94900.24,4745.01,1,80.0,8000.0,4745.01,4270.51,149.47
kkdbg,marwad,residential,90956.25,84.5,200.0,0.5,100.0,1,1,700,86900.24,4345.01,2,40.0,4000.0,4000.0,3600.0,126.0
iicqz,marwad,residential,90956.25,84.5,200.0,0.5,100.0,1,1,1000,116900.24,5845.01,2,40.0,4000.0,4000.0,3600.0,126.0
lfxfu,marwad,residential,90956.25,84.5,200.0,0.5,100.0,1,1,1100,126900.24,6345.01,2,40.0,4000.0,4000.0,3600.0,126.0
jcpsi,marwad,residential,90956.25,84.5,200.0,0.5,100.0,1,1,1300,146900.24,7345.01,2,40.0,4000.0,4000.0,3600.0,126.0
cxcsx,marwad,residential,90956.25,84.5,200.0,0.5,100.0,6,0.9,700,79900.24,3995.01,2,40.0,4000.0,3995.01,3595.51,125.84
wnoki,marwad,residential,90956.25,84.5,200.0,0.5,100.0,6,0.9,1000,106900.24,5345.01,2,40.0,4000.0,4000.0,3600.0,126.0
zcoog,marwad,residential,90956.25,84.5,200.0,0.5,100.0,6,0.9,1100,115900.24,5795.01,2,40.0,4000.0,4000.0,3600.0,126.0
jjvbw,marwad,residential,90956.25,84.5,200.0,0.5,100.0,6,0.9,1300,133900.24,6695.01,2,40.0,4000.0,4000.0,3600.0,126.0
ccfbm,marwad,residential,90956.25,84.5,200.0,0.5,100.0,11,0.8,700,72900.24,3645.01,2,40.0,4000.0,3645.01,3280.51,114.82
zngmf,marwad,residential,90956.25,84.5,200.0,0.5,100.0,11,0.8,1000,96900.24,4845.01,2,40.0,4000.0,4000.0,3600.0,126.0
zdabr,marwad,residential,90956.25,84.5,200.0,0.5,100.0,11,0.8,1100,104900.24,5245.01,2,40.0,4000.0,4000.0,3600.0,126.0
huoqf,marwad,residential,90956.25,84.5,200.0,0.5,100.0,11,0.8,1300,120900.24,6045.01,2,40.0,4000.0,4000.0,3600.0,126.0
ymgwo,marwad,residential,90956.25,84.5,200.0,0.5,100.0,16,0.7,700,65900.24,3295.01,2,40.0,4000.0,3295.01,2965.51,103.79
nmrin,marwad,residential,90956.25,84.5,200.0,0.5,100.0,16,0.7,1000,86900.24,4345.01,2,40.0,4000.0,4000.0,3600.0,126.0
rdrxc,marwad,residential,90956.25,84.5,200.0,0.5,100.0,16,0.7,1100,93900.24,4695.01,2,40.0,4000.0,4000.0,3600.0,126.0
nwxgo,marwad,residential,90956.25,84.5,200.0,0.5,100.0,16,0.7,1300,107900.24,5395.01,2,40.0,4000.0,4000.0,3600.0,126.0
uwhkh,marwad,residential,90956.25,84.5,200.0,0.5,100.0,21,0.6,700,58900.24,2945.01,2,40.0,4000.0,2945.01,2650.51,92.77
dtsvg,marwad,residential,90956.25,84.5,200.0,0.5,100.0,21,0.6,1000,76900.24,3845.01,2,40.0,4000.0,3845.01,3460.51,121.12
jnkfx,marwad,residential,90956.25,84.5,200.0,0.5,100.0,21,0.6,1100,82900.24,4145.01,2,40.0,4000.0,4000.0,3600.0,126.0
rjtrm,marwad,residential,90956.25,84.5,200.0,0.5,100.0,21,0.6,1300,94900.24,4745.01,2,40.0,4000.0,4000.0,3600.0,126.0
zmued,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,1,1,700,105073.68,5253.68,1,120.0,12000.0,5253.68,4728.32,260.06
rkxag,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,1,1,1000,135073.68,6753.68,1,120.0,12000.0,6753.68,6078.32,334.31
tuoav,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,1,1,1100,145073.68,7253.68,1,120.0,12000.0,7253.68,6528.32,359.06
waujj,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,1,1,1300,165073.68,8253.68,1,120.0,12000.0,8253.68,7428.32,408.56
shyjv,marwad,commercial,188764.8,175.37,200.0,0.5,100.0,6,0.9,700,98073.68,4903.68,1,120.0,12000.0,4903.68,4413.32,242.73
